Test File Name,"No saturation (same subgroup, 128 threads per workgroup)",Round Robin,Chunked,All Passed
0,P,F (1/1),P,F
1,F (1/1),F (1/1),P,F
2,P,P,P,P
3,P,P,F (1/1),F
4,P,P,P,P
5,P,F (1/1),P,F
6,P,P,P,P
7,P,P,F (1/1),F
8,P,P,P,P
9,P,P,P,P
10,P,P,F (1/1),F
11,P,P,F (1/1),F
12,P,P,P,P
13,P,P,P,P
14,P,P,P,P
15,P,P,F (1/1),F
16,P,P,P,P
17,P,P,P,P
18,P,P,P,P
19,P,P,P,P
20,P,F (1/1),P,F
21,P,P,P,P
22,P,P,P,P
23,P,P,P,P
24,P,P,F (1/1),F
25,P,P,F (1/1),F
26,P,P,F (1/1),F
27,P,F (1/1),P,F
28,P,P,P,P
29,P,P,P,P
30,P,P,F (1/1),F
31,P,F (1/1),P,F
32,P,F (1/1),P,F
33,P,P,F (1/1),F
34,P,P,P,P
35,P,F (1/1),P,F
36,P,F (1/1),P,F
37,P,P,F (1/1),F
38,P,P,F (1/1),F
39,P,P,P,P
40,P,P,F (1/1),F
41,P,P,F (1/1),F
42,P,P,P,P
43,P,F (1/1),P,F
44,P,P,F (1/1),F
45,P,P,P,P
46,P,P,P,P
47,P,P,P,P
48,P,P,F (1/1),F
49,P,P,F (1/1),F
50,P,P,P,P
51,P,P,F (1/1),F
52,P,F (1/1),P,F
53,F (1/1),F (1/1),P,F
54,P,P,P,P
55,P,P,P,P
56,P,P,P,P
57,P,P,P,P
58,P,P,F (1/1),F
59,P,P,P,P
60,P,P,P,P
61,P,P,F (1/1),F
62,P,P,P,P
63,P,P,P,P
64,P,P,P,P
65,P,P,F (1/1),F
66,P,P,P,P
67,P,P,F (1/1),F
68,P,F (1/1),P,F
69,P,P,P,P
70,P,P,F (1/1),F
71,P,P,P,P
72,P,P,P,P
73,P,P,P,P
74,P,P,F (1/1),F
75,P,F (1/1),P,F
76,P,F (1/1),P,F
77,P,P,F (1/1),F
78,P,F (1/1),P,F
79,P,P,F (1/1),F
80,P,P,P,P
81,P,P,P,P
82,P,P,P,P
83,P,F (1/1),P,F
84,P,F (1/1),P,F
85,P,F (1/1),P,F
86,P,P,P,P
87,P,P,P,P
88,P,F (1/1),P,F
89,P,P,P,P
90,P,P,P,P
91,P,P,P,P
92,P,P,P,P
93,P,P,P,P
94,P,P,P,P
95,P,P,P,P
96,P,F (1/1),P,F
97,P,P,P,P
98,P,P,F (1/1),F
99,P,F (1/1),P,F
100,P,P,P,P
101,P,P,P,P
102,P,P,P,P
103,P,P,P,P
104,P,F (1/1),P,F
105,P,P,P,P
106,P,P,F (1/1),F
107,P,P,P,P
108,P,P,P,P
109,P,P,F (1/1),F
110,P,F (1/1),P,F
111,P,P,F (1/1),F
112,P,P,P,P
113,P,P,P,P
114,P,P,P,P
115,P,P,F (1/1),F
116,P,P,P,P
117,P,P,F (1/1),F
118,P,P,P,P
119,P,P,F (1/1),F
120,P,P,P,P
121,P,P,F (1/1),F
122,P,F (1/1),F (1/1),F
123,P,P,P,P
124,P,P,P,P
125,P,P,P,P
126,P,P,P,P
127,P,P,P,P
128,P,P,P,P
129,P,F (1/1),P,F
130,P,P,P,P
131,P,P,P,P
132,P,P,P,P
133,P,P,F (1/1),F
134,P,P,F (1/1),F
135,P,F (1/1),P,F
136,P,P,P,P
137,P,F (1/1),P,F
138,P,P,F (1/1),F
139,P,F (1/1),P,F
140,P,P,P,P
141,P,P,P,P
142,P,P,P,P
143,P,P,F (1/1),F
144,P,F (1/1),P,F
145,P,P,P,P
146,P,P,P,P
147,P,P,P,P
148,P,P,P,P
149,P,P,P,P
150,P,F (1/1),P,F
151,P,P,P,P
152,P,F (1/1),P,F
153,P,F (1/1),P,F
154,P,F (1/1),P,F
155,P,P,P,P
156,P,P,P,P
157,P,P,P,P
158,P,P,P,P
159,P,P,P,P
160,P,P,P,P
161,P,P,P,P
162,P,P,P,P
163,P,P,P,P
164,P,P,F (1/1),F
165,P,F (1/1),P,F
166,P,P,P,P
167,P,P,P,P
168,P,P,P,P
169,P,F (1/1),P,F
170,P,F (1/1),P,F
171,P,P,P,P
172,P,F (1/1),P,F
173,P,F (1/1),P,F
174,P,P,P,P
175,P,P,P,P
Total failures:,2,39,40,78
